sample_id,task,dataset,model,prediction,confidence,response_time,correct
kpi_0,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7047476123630918,3.237337511682654,True
kpi_0,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8656324342999813,2.521933801237421,True
kpi_0,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8740017162133191,1.1393329748359124,False
kpi_1,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8404936465284585,2.146683366764761,True
kpi_1,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8185905148069426,2.7514080435193717,True
kpi_1,kpi_anomaly_detection,real_kpi,phi-3,normal,0.9212134306419959,1.5988490477622743,False
kpi_2,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8482058038848709,1.131250217969678,True
kpi_2,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9476911188620738,2.378649692506762,False
kpi_2,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.9476989438093206,2.512489553476096,True
kpi_3,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8022517282295955,2.360757763468066,True
kpi_3,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.9071587564798579,3.337759297684703,True
kpi_3,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.815377460758775,1.148681257989677,True
kpi_4,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.703250058513745,1.3094478519251918,True
kpi_4,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7582405953640454,2.3877164577959045,True
kpi_4,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8480953190069744,1.6224958289315587,True
kpi_5,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7869963734801053,1.2338340514980377,True
kpi_5,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7369007789712714,3.1850907831126327,True
kpi_5,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8989740893034415,1.7559744617539497,True
kpi_6,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7505174455240271,2.9918014853391064,True
kpi_6,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9061478961013676,1.2949152483844066,False
kpi_6,kpi_anomaly_detection,real_kpi,phi-3,normal,0.7325961425309968,1.8061045020580593,False
kpi_7,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9081300600717335,2.3129783383674924,True
kpi_7,kpi_anomaly_detection,real_kpi,llama-3,normal,0.762025658685078,2.1440009898887,False
kpi_7,kpi_anomaly_detection,real_kpi,phi-3,normal,0.9292796437663714,1.2991540446843401,False
