sample_id,task,dataset,model,prediction,confidence,response_time,correct
kpi_0,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8016753945166786,1.0330187860554383,True
kpi_0,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.704000930051495,2.096183636528883,True
kpi_0,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8858913196329427,1.1560548555807006,False
kpi_1,kpi_anomaly_detection,real_kpi,gpt-4,normal,0.8315627068455155,2.8700064278199813,False
kpi_1,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9234453247385904,1.8430962921000829,False
kpi_1,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.9452916650628864,2.567790321792771,True
kpi_2,kpi_anomaly_detection,real_kpi,gpt-4,normal,0.892449009565734,2.626775638747433,False
kpi_2,kpi_anomaly_detection,real_kpi,llama-3,normal,0.8480790622371871,2.813095371177174,False
kpi_2,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.741432782719616,2.255350572654839,True
kpi_3,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8155983905926781,2.0237402009872634,True
kpi_3,kpi_anomaly_detection,real_kpi,llama-3,normal,0.7039566049309192,1.2696534273038862,False
kpi_3,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8160800766785544,2.512600114483109,True
kpi_4,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7687787247495553,2.2815017622329883,True
kpi_4,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9325229203596059,2.19706236471101,False
kpi_4,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8011015327449624,2.65115406765705,False
kpi_5,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9253379568007454,2.214810147768059,True
kpi_5,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8393129950352485,1.1687957660153458,True
kpi_5,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7534776272593577,1.7930051273812202,True
kpi_6,kpi_anomaly_detection,real_kpi,gpt-4,normal,0.8068273702705219,2.4742695601196076,False
kpi_6,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.9254869857589028,2.2241642209616477,True
kpi_6,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8946581457951239,2.001074595406443,True
kpi_7,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.851321225049098,1.0541084681005244,True
kpi_7,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7137311759541145,1.7400536157788218,True
kpi_7,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8132328312609838,2.313210497816327,False
kpi_8,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7808917913320872,3.418589322505986,True
kpi_8,kpi_anomaly_detection,real_kpi,llama-3,normal,0.7458776478197333,1.3472107079023208,False
