sample_id,task,dataset,model,prediction,confidence,response_time,correct
kpi_0,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7024242599880419,2.8575722609236296,True
kpi_0,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.9033346732749961,2.739345392723151,True
kpi_0,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8921251471075268,2.579291537335056,False
kpi_1,kpi_anomaly_detection,real_kpi,gpt-4,normal,0.7256417451016747,3.0230701141097747,False
kpi_1,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9386256736003805,2.430931483433768,False
kpi_1,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8390114074824311,2.6528285901315654,True
kpi_2,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9053567994110117,2.153886280878328,True
kpi_2,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7744982437980951,1.925292350095026,True
kpi_2,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8003364080828705,1.8397598938274622,False
kpi_3,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9103395846399429,1.885521807832217,True
kpi_3,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.9103341643317756,3.2638180792832174,True
kpi_3,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8546218341291498,3.0653628065239977,True
kpi_4,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7778116776742654,3.3801072822277796,True
kpi_4,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7756116693663617,2.341584018754669,True
kpi_4,kpi_anomaly_detection,real_kpi,phi-3,normal,0.7135940159062824,3.4799795737813772,False
kpi_5,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7912057797416462,3.481096216621728,True
kpi_5,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.9433389897458739,2.5347716154137196,True
kpi_5,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7086789461388213,1.8711998678564747,True
kpi_6,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8180922828674483,3.0984155780290923,True
kpi_6,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8041705356442523,1.567210235775304,True
kpi_6,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8935650646840083,2.542222102609019,True
kpi_7,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9426260601226113,1.4256214884870202,True
kpi_7,kpi_anomaly_detection,real_kpi,llama-3,normal,0.7642178369087933,1.7579423860059162,False
kpi_7,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7446442936957907,3.3864577285337436,True
kpi_8,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7513127967634445,3.4661785861427337,True
kpi_8,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7104185647861885,3.3043233524869664,True
kpi_8,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7277546707273295,3.4437217523528965,True
kpi_9,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7551314245250187,1.2874983818748627,True
kpi_9,kpi_anomaly_detection,real_kpi,llama-3,normal,0.8022266970099452,1.0659146248407776,False
kpi_9,kpi_anomaly_detection,real_kpi,phi-3,normal,0.9091062546554026,2.683598742696236,False
kpi_10,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8663340029899187,3.3615081292681435,True
kpi_10,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.9317895292820679,2.491452597374211,True
kpi_10,kpi_anomaly_detection,real_kpi,phi-3,normal,0.9053935969378014,1.8941574497191804,False
kpi_11,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7423605031311604,1.456830261109208,True
kpi_11,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9137857541840062,2.7730744306630166,False
kpi_11,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7962270992698067,1.9226312214238717,True
kpi_12,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7888565925181444,2.4653180734601445,True
kpi_12,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7427471292609318,3.0806414318523068,True
kpi_12,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8446624670930835,2.5467252115754917,True
kpi_13,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7768055756107215,3.230520218086398,True
kpi_13,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8396653923864478,1.998838470749035,True
kpi_13,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8231606774528284,2.984617661544266,True
kpi_14,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8112759641223611,2.0872389704836856,True
kpi_14,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7129713432211648,2.860067472031202,True
kpi_14,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8066839610649369,3.1996985135593907,True
kpi_15,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9320825928300152,2.7218086486544775,True
