trace_id,span_id,service_name,timestamp,level,message
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,8b2ce277-30db-4cc8-9fb0-31ce38add19a,auth,2026-01-21 17:09:21.317463,INFO,auth: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,0a29ab0d-7b0d-4b38-a2a6-05b8da4add33,user-db,2026-01-21 17:09:21.333573,INFO,user-db: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,98623266-c4ff-4c9a-b2fb-b33ed9b1201b,catalog,2026-01-21 17:09:21.314267,INFO,catalog: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,22c39141-0054-40e7-b8cf-9aad85ebc35c,catalog-db,2026-01-21 17:09:21.328297,INFO,catalog-db: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,6447d263-a1a1-4d9e-aefa-e7d5def666b0,cache,2026-01-21 17:09:21.329787,INFO,cache: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,6e0d1051-5930-4840-b59a-7544b9881cc8,order,2026-01-21 17:09:21.317963,INFO,order: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,57d011d8-8bf2-47f5-bf27-44dd1472758b,payment,2026-01-21 17:09:21.325358,INFO,payment: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,f97b6d93-b67c-40af-9138-bc49dbc0237c,payment-gateway,2026-01-21 17:09:21.333588,INFO,payment-gateway: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,1a332953-0c67-40ec-99da-b22cc27ce12f,fraud-detection,2026-01-21 17:09:21.336057,INFO,fraud-detection: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,9da46c94-71af-461f-a858-449b0df8da37,inventory,2026-01-21 17:09:21.326931,INFO,inventory: Request processed successfully
93ebcbd7-50e1-4e09-867d-6b2e80ef9626,10800ae4-a1c0-4917-a4d3-170f5e568631,inventory-db,2026-01-21 17:09:21.333803,INFO,inventory-db: Request processed successfully
